ts,machine_id,blender_id,melt_temp_c,melt_pressure_bar,melt_pressure_std,extruder_amps,cycle_time_s,blow_pressure_bar,mold_cool_temp_c,bottle_weight_g,bottle_weight_std_g,wall_thickness_mm,ambient_humidity_pct
2026-06-01 00:00:00,BM-04,BL-1,204.7,212.9,2.6,104.4,12.75,9.38,13.8,47.93,0.67,0.991,47.9
2026-06-01 00:00:00,BM-07,BL-2,204.0,213.4,4.06,108.7,12.95,9.65,12.9,47.96,0.79,1.015,50.7
2026-06-01 00:00:00,BM-09,BL-2,206.8,211.6,3.8,103.3,21.05,9.89,12.9,164.77,1.74,1.023,40.3
2026-06-01 00:00:00,BM-12,BL-1,203.5,211.9,2.98,105.2,32.82,9.24,14.5,165.46,2.947,1.03,41.3
2026-06-01 01:00:00,BM-04,BL-1,206.3,214.4,3.33,103.7,12.93,9.48,14.4,47.98,0.778,0.963,47.6
2026-06-01 01:00:00,BM-07,BL-2,203.3,211.7,3.24,104.5,12.58,9.89,13.0,48.01,0.743,1.041,49.1
2026-06-01 01:00:00,BM-09,BL-2,204.1,211.3,2.66,100.1,21.31,10.02,13.7,164.94,3.386,0.995,47.8
2026-06-01 01:00:00,BM-12,BL-1,204.4,210.1,3.06,101.5,33.15,8.97,14.6,165.81,3.164,1.003,55.0
2026-06-01 02:00:00,BM-04,BL-1,206.6,211.1,3.1,104.3,12.44,9.82,13.3,48.07,0.776,1.012,51.8
2026-06-01 02:00:00,BM-07,BL-2,205.5,213.5,3.72,102.4,13.09,9.29,12.9,47.93,0.487,1.009,58.5
2026-06-01 02:00:00,BM-09,BL-2,206.2,213.5,3.78,111.9,21.63,9.67,13.7,165.19,2.354,1.017,50.8
2026-06-01 02:00:00,BM-12,BL-1,203.5,215.0,2.8,104.0,32.79,9.48,13.7,165.17,3.003,1.028,45.3
2026-06-01 03:00:00,BM-04,BL-1,207.2,211.8,2.73,103.2,13.0,9.67,13.6,47.95,0.878,1.034,46.4
2026-06-01 03:00:00,BM-07,BL-2,206.5,213.7,2.61,104.8,12.36,9.09,13.6,47.92,0.736,1.055,45.8
2026-06-01 03:00:00,BM-09,BL-2,204.4,210.9,3.2,106.5,22.15,9.04,14.2,164.82,1.751,1.036,52.1
2026-06-01 03:00:00,BM-12,BL-1,203.5,212.0,3.13,101.3,34.36,9.79,14.6,165.61,3.428,0.987,42.0
2026-06-01 04:00:00,BM-04,BL-1,205.7,211.8,3.53,107.3,12.81,9.67,14.4,48.02,0.892,1.022,44.0
2026-06-01 04:00:00,BM-07,BL-2,203.4,210.9,2.83,108.1,13.23,9.57,13.5,48.08,0.861,1.017,57.5
2026-06-01 04:00:00,BM-09,BL-2,204.9,212.3,3.0,113.2,21.48,9.17,13.2,164.71,1.748,1.033,51.1
2026-06-01 04:00:00,BM-12,BL-1,207.3,212.1,3.54,104.4,31.49,8.83,13.2,164.39,2.14,0.999,44.8
2026-06-01 05:00:00,BM-04,BL-1,203.8,212.8,3.38,104.9,12.86,9.65,14.1,48.09,0.828,1.043,45.6
2026-06-01 05:00:00,BM-07,BL-2,204.5,210.4,3.45,106.9,12.55,9.52,13.5,47.99,0.625,1.007,52.9
2026-06-01 05:00:00,BM-09,BL-2,204.2,209.2,3.81,104.1,22.32,9.14,14.3,164.82,2.273,1.021,45.1
2026-06-01 05:00:00,BM-12,BL-1,207.8,212.0,1.86,100.9,33.93,9.77,13.6,165.12,3.438,1.052,49.3
2026-06-01 06:00:00,BM-04,BL-1,203.1,210.7,2.79,103.1,12.51,9.28,14.5,48.09,0.835,1.026,55.1
2026-06-01 06:00:00,BM-07,BL-2,206.6,210.5,1.56,108.9,12.66,9.88,14.0,47.83,0.925,1.012,46.2
2026-06-01 06:00:00,BM-09,BL-2,204.8,212.5,4.16,106.3,21.31,9.41,12.5,165.14,2.834,1.043,35.2
2026-06-01 06:00:00,BM-12,BL-1,203.5,213.1,3.27,104.9,32.71,9.28,14.0,165.06,3.441,0.995,38.4
2026-06-01 07:00:00,BM-04,BL-1,207.1,210.6,4.42,102.2,12.85,9.54,14.2,48.0,0.868,1.019,43.3
2026-06-01 07:00:00,BM-07,BL-2,204.8,210.8,4.58,100.0,12.92,9.37,14.1,47.99,0.943,1.016,57.5
2026-06-01 07:00:00,BM-09,BL-2,205.3,214.8,3.58,101.7,21.61,9.14,15.4,165.54,2.446,1.068,52.9
2026-06-01 07:00:00,BM-12,BL-1,204.5,214.5,3.61,98.1,32.42,9.82,13.8,165.65,1.709,1.015,52.4
2026-06-01 08:00:00,BM-04,BL-1,208.5,211.3,2.95,107.2,12.69,9.61,12.8,48.01,0.862,1.009,40.6
2026-06-01 08:00:00,BM-07,BL-2,207.3,212.8,2.74,101.5,12.51,9.58,13.9,47.98,0.722,1.035,51.4
2026-06-01 08:00:00,BM-09,BL-2,203.2,212.7,3.85,103.8,21.45,9.88,13.9,165.16,2.544,1.018,42.7
2026-06-01 08:00:00,BM-12,BL-1,204.3,212.4,2.98,107.0,33.66,9.22,13.5,165.16,2.734,1.038,47.5
2026-06-01 09:00:00,BM-04,BL-1,204.3,209.7,2.93,104.6,13.16,10.24,14.1,47.95,0.623,1.014,46.3
2026-06-01 09:00:00,BM-07,BL-2,205.0,212.5,3.46,99.3,12.91,9.73,14.8,48.2,0.598,1.037,42.9
2026-06-01 09:00:00,BM-09,BL-2,205.0,208.5,2.44,102.4,21.92,9.36,14.4,165.35,2.244,0.998,41.0
2026-06-01 09:00:00,BM-12,BL-1,203.6,212.3,3.78,109.5,32.21,9.16,14.8,165.41,2.146,1.039,44.1
2026-06-01 10:00:00,BM-04,BL-1,208.0,213.2,2.59,104.1,12.84,9.73,14.1,47.95,0.832,1.041,40.2
2026-06-01 10:00:00,BM-07,BL-2,203.8,212.5,3.93,102.0,13.05,9.45,13.5,48.16,0.832,1.026,40.5
2026-06-01 10:00:00,BM-09,BL-2,205.5,212.4,3.61,105.2,21.8,9.28,14.2,165.18,2.595,1.031,52.0
2026-06-01 10:00:00,BM-12,BL-1,204.0,212.1,2.83,105.6,33.42,10.09,13.9,164.83,1.918,1.045,66.2
2026-06-01 11:00:00,BM-04,BL-1,204.7,212.5,2.96,104.7,13.31,9.58,13.5,48.04,0.84,1.018,50.5
2026-06-01 11:00:00,BM-07,BL-2,204.8,210.8,2.73,103.8,12.68,9.66,14.3,48.26,0.682,0.991,52.1
2026-06-01 11:00:00,BM-09,BL-2,204.0,212.7,2.67,106.1,22.28,9.79,14.0,164.8,2.021,0.996,52.7
2026-06-01 11:00:00,BM-12,BL-1,202.4,213.7,3.31,101.9,31.75,9.67,14.4,165.21,2.663,1.0,39.8
2026-06-01 12:00:00,BM-04,BL-1,203.5,210.6,2.99,100.5,12.88,9.47,14.6,47.87,0.515,1.004,40.2
2026-06-01 12:00:00,BM-07,BL-2,204.7,214.0,2.95,105.3,13.14,9.4,14.3,47.94,0.888,1.014,49.9
2026-06-01 12:00:00,BM-09,BL-2,206.5,210.9,3.22,105.4,22.26,9.1,14.7,164.98,2.824,0.999,61.4
2026-06-01 12:00:00,BM-12,BL-1,206.5,214.9,3.25,101.3,32.34,9.48,14.4,164.45,1.562,1.025,39.3
2026-06-01 13:00:00,BM-04,BL-1,204.3,215.0,2.55,106.2,13.14,9.77,13.3,48.08,0.65,1.031,54.7
2026-06-01 13:00:00,BM-07,BL-2,203.7,212.5,3.35,106.6,12.51,9.56,14.7,48.05,0.769,1.003,47.7
2026-06-01 13:00:00,BM-09,BL-2,202.9,213.9,2.98,103.0,21.44,9.53,13.3,165.11,2.155,1.053,50.0
2026-06-01 13:00:00,BM-12,BL-1,207.4,211.0,3.44,107.2,32.19,9.4,13.9,164.09,2.456,1.014,45.7
2026-06-01 14:00:00,BM-04,BL-1,202.1,209.7,3.78,106.3,13.31,9.33,14.8,47.8,0.61,1.012,43.6
2026-06-01 14:00:00,BM-07,BL-2,206.5,209.3,3.84,102.5,12.93,9.67,13.7,47.96,0.572,1.016,51.7
2026-06-01 14:00:00,BM-09,BL-2,205.7,211.9,2.94,106.9,22.23,10.43,14.3,165.05,2.747,1.061,50.9
2026-06-01 14:00:00,BM-12,BL-1,206.1,210.0,2.93,107.3,32.82,9.76,13.9,164.83,2.796,1.017,44.0
2026-06-01 15:00:00,BM-04,BL-1,206.7,213.5,2.24,104.9,13.09,9.68,14.0,47.97,0.744,1.036,44.0
2026-06-01 15:00:00,BM-07,BL-2,204.6,212.0,3.18,103.3,12.78,9.65,13.4,47.82,0.663,1.021,38.2
2026-06-01 15:00:00,BM-09,BL-2,204.5,213.5,4.21,104.5,21.93,9.66,13.4,165.26,1.748,1.015,48.4
2026-06-01 15:00:00,BM-12,BL-1,205.6,213.7,2.72,100.9,32.38,9.55,14.0,164.89,1.137,1.008,34.4
2026-06-01 16:00:00,BM-04,BL-1,205.3,210.1,3.49,104.4,12.94,9.42,13.1,47.88,0.724,1.014,39.1
2026-06-01 16:00:00,BM-07,BL-2,204.1,212.0,2.84,104.7,12.79,9.6,15.1,48.06,0.68,1.001,44.0
