DateKey,ProductKey,RegionKey,ChannelKey,UnitsSold,NetRevenue,COGS,GrossMargin,TradeSpend
2025-01-01,COLA-CHERRY,Midwest,Club,2502,30023.17,16512.74,13510.43,4203.24
2025-01-01,COLA-CHERRY,Midwest,Convenience,2880,34558.63,19007.25,15551.38,4838.21
2025-01-01,COLA-CHERRY,Midwest,Ecommerce,1227,14728.18,8100.5,6627.68,2061.95
2025-01-01,COLA-CHERRY,Midwest,Foodservice,1748,20971.22,11534.17,9437.05,2935.97
2025-01-01,COLA-CHERRY,Midwest,Grocery,4150,49801.78,27390.98,22410.8,6972.25
2025-01-01,COLA-CHERRY,Mountain,Club,1740,20881.08,11484.59,9396.49,2923.35
2025-01-01,COLA-CHERRY,Mountain,Convenience,1958,23499.29,12924.61,10574.68,3289.9
2025-01-01,COLA-CHERRY,Mountain,Ecommerce,880,10563.59,5809.97,4753.62,1478.9
2025-01-01,COLA-CHERRY,Mountain,Foodservice,1248,14971.01,8234.06,6736.95,2095.94
2025-01-01,COLA-CHERRY,Mountain,Grocery,3059,36710.87,20190.98,16519.89,5139.52
2025-01-01,COLA-CHERRY,Northeast,Club,2364,28363.84,15600.11,12763.73,3970.94
2025-01-01,COLA-CHERRY,Northeast,Convenience,2431,29172.61,16044.94,13127.67,4084.17
2025-01-01,COLA-CHERRY,Northeast,Ecommerce,1143,13715.0,7543.25,6171.75,1920.1
2025-01-01,COLA-CHERRY,Northeast,Foodservice,1603,19233.02,10578.16,8654.86,2692.62
2025-01-01,COLA-CHERRY,Northeast,Grocery,3973,47680.28,26224.15,21456.13,6675.24
2025-01-01,COLA-CHERRY,South,Club,2685,32216.67,17719.17,14497.5,4510.33
2025-01-01,COLA-CHERRY,South,Convenience,3085,37014.97,20358.23,16656.74,5182.1
2025-01-01,COLA-CHERRY,South,Ecommerce,1401,16807.36,9244.05,7563.31,2353.03
2025-01-01,COLA-CHERRY,South,Foodservice,1918,23021.8,12661.99,10359.81,3223.05
2025-01-01,COLA-CHERRY,South,Grocery,4795,57537.2,31645.46,25891.74,8055.21
2025-01-01,COLA-CHERRY,West,Club,3355,40264.7,22145.59,18119.11,5637.06
