Month,DepartmentKey,EpicCostCenter,AvgDailyCensus,PatientDays,AcuityIndex,TargetHPPD,RequiredNursingHours
2026-01,1000,6101,26.5,795,1.03,8.0,6551
2026-02,1000,6101,28.9,867,1.05,8.0,7283
2026-03,1000,6101,28.0,840,1.03,8.0,6922
2026-04,1000,6101,26.2,786,1.05,8.0,6602
2026-05,1000,6101,26.8,804,1.02,8.0,6561
2026-06,1000,6101,29.4,882,1.03,8.0,7268
2026-01,1001,6110,24.7,741,1.18,10.0,8744
2026-02,1001,6110,25.2,756,1.12,10.0,8467
2026-03,1001,6110,23.1,693,1.17,10.0,8108
2026-04,1001,6110,25.3,759,1.15,10.0,8728
2026-05,1001,6110,23.0,690,1.18,10.0,8142
2026-06,1001,6110,25.9,777,1.18,10.0,9169
2026-01,1002,6120,16.3,489,1.87,18.0,16460
2026-02,1002,6120,18.3,549,1.86,18.0,18381
2026-03,1002,6120,17.7,531,1.85,18.0,17682
2026-04,1002,6120,18.1,543,1.88,18.0,18375
2026-05,1002,6120,17.8,534,1.86,18.0,17878
2026-06,1002,6120,17.7,531,1.9,18.0,18160
2026-01,1003,7101,24.6,738,0.99,8.0,5845
2026-02,1003,7101,24.9,747,0.99,8.0,5916
2026-03,1003,7101,24.1,723,1.01,8.0,5842
2026-04,1003,7101,25.0,750,1.03,8.0,6180
2026-05,1003,7101,27.1,813,1.01,8.0,6569
2026-06,1003,7101,25.0,750,1.0,8.0,6000
2026-01,1004,7130,21.0,630,1.11,8.5,5944
2026-02,1004,7130,21.4,642,1.07,8.5,5839
2026-03,1004,7130,24.1,723,1.1,8.5,6760
2026-04,1004,7130,23.5,705,1.12,8.5,6712
2026-05,1004,7130,22.8,684,1.13,8.5,6570
2026-06,1004,7130,22.6,678,1.08,8.5,6224
2026-01,1005,7120,15.3,459,1.8,18.0,14872
2026-02,1005,7120,15.6,468,1.79,18.0,15079
2026-03,1005,7120,15.0,450,1.8,18.0,14580
2026-04,1005,7120,14.7,441,1.82,18.0,14447
2026-05,1005,7120,14.4,432,1.82,18.0,14152
2026-06,1005,7120,15.7,471,1.75,18.0,14836
2026-01,1006,8101,19.5,585,1.04,8.0,4867
2026-02,1006,8101,19.9,597,1.03,8.0,4919
2026-03,1006,8101,19.8,594,1.05,8.0,4990
2026-04,1006,8101,19.4,582,1.06,8.0,4935
2026-05,1006,8101,20.2,606,1.04,8.0,5042
2026-06,1006,8101,19.8,594,1.08,8.0,5132
2026-01,1007,8105,24.9,747,1.05,8.0,6275
2026-02,1007,8105,24.0,720,1.02,8.0,5875
2026-03,1007,8105,25.0,750,1.03,8.0,6180
2026-04,1007,8105,19.0,570,1.02,8.0,4651
2026-05,1007,8105,18.9,567,1.02,8.0,4627
2026-06,1007,8105,17.7,531,1.06,8.0,4503
2026-01,1008,8115,20.6,618,1.37,12.0,10160
2026-02,1008,8115,20.0,600,1.35,12.0,9720
2026-03,1008,8115,18.6,558,1.32,12.0,8839
2026-04,1008,8115,19.9,597,1.32,12.0,9456
2026-05,1008,8115,16.3,489,1.32,12.0,7746
2026-06,1008,8115,14.6,438,1.38,12.0,7253
