MONTH,LABOR_ACCT,AGENCY_HRS,BILL_RATE,VENDOR
2026-01,08101-RN,162,103.89,Aya Healthcare
2026-01,0FLOATPOOL-CHR,108,103.89,Aya Healthcare
2026-02,08101-RN,148,107.39,Aya Healthcare
2026-02,0FLOATPOOL-CHR,99,107.39,Aya Healthcare
2026-03,08101-RN,207,112.35,Medical Solutions
2026-04,08101-RN,362,106.46,Medical Solutions
2026-05,08101-RN,298,109.44,Cross Country
2026-06,08101-RN,315,114.81,Aya Healthcare
2026-01,08105-RN,434,106.96,Medical Solutions
2026-02,08105-RN,394,115.35,Medical Solutions
2026-03,08105-RN,247,109.91,Medical Solutions
2026-03,0FLOATPOOL-CHR,164,109.91,Medical Solutions
2026-04,08105-RN,578,114.71,Cross Country
2026-05,08105-RN,574,107.29,Medical Solutions
2026-06,08105-RN,728,108.8,Medical Solutions
2026-01,08115-RN,155,117.93,Medical Solutions
2026-01,0FLOATPOOL-CHR,103,117.93,Medical Solutions
2026-02,08115-RN,238,105.49,Cross Country
2026-03,08115-RN,210,114.41,Aya Healthcare
2026-04,08115-RN,340,106.95,Aya Healthcare
2026-05,08115-RN,212,107.23,Aya Healthcare
2026-05,0FLOATPOOL-CHR,142,107.23,Aya Healthcare
2026-06,08115-RN,217,104.43,Cross Country
2026-06,0FLOATPOOL-CHR,145,104.43,Cross Country
