EMPLID,MONTH,HOME_LABOR_ACCT,WORKED_LABOR_ACCT,REG_HRS,OT_HRS,FLOAT_HRS,CALLOFF_HRS,SHIFTS_WORKED,MAX_CONSECUTIVE_SHIFTS
700001,2026-01,06101-RN,06101-RN,146.4,14.2,6.6,0.0,14,4
700001,2026-02,06101-RN,06101-RN,151.1,17.6,6.9,0.0,15,5
700001,2026-03,06101-RN,06101-RN,148.9,16.0,8.8,0.0,14,5
700001,2026-04,06101-RN,06101-RN,155.1,13.5,10.2,0.0,15,3
700001,2026-05,06101-RN,06101-RN,153.4,14.7,7.2,0.0,15,4
700001,2026-06,06101-RN,06101-RN,151.4,17.9,8.3,0.0,15,3
700002,2026-01,06101-RN,06101-RN,146.8,15.6,10.1,0.0,14,5
700002,2026-02,06101-RN,06101-RN,151.7,17.3,8.5,0.0,15,5
700002,2026-03,06101-RN,06101-RN,154.0,14.9,10.4,0.0,15,4
700002,2026-04,06101-RN,06101-RN,155.5,13.7,8.4,0.0,15,3
700002,2026-05,06101-RN,06101-RN,154.2,16.4,9.3,0.0,15,5
700002,2026-06,06101-RN,06101-RN,144.8,15.6,11.5,0.0,14,3
700003,2026-01,06101-RN,06101-RN,155.9,17.3,11.4,0.0,15,4
700003,2026-02,06101-RN,06101-RN,150.1,17.0,8.5,0.0,15,4
700003,2026-03,06101-RN,06101-RN,145.4,14.3,8.5,0.0,14,4
700003,2026-04,06101-RN,06101-RN,156.0,17.7,7.4,0.0,15,5
700003,2026-05,06101-RN,06101-RN,147.9,14.7,10.3,0.0,14,4
700003,2026-06,06101-RN,06101-RN,144.5,13.4,10.4,0.0,14,4
700004,2026-01,06101-RN,06101-RN,147.7,17.8,6.9,0.0,14,5
700004,2026-02,06101-RN,06101-RN,147.6,14.3,6.8,0.0,14,4
700004,2026-03,06101-RN,06101-RN,149.8,17.0,10.4,0.0,15,5
700004,2026-04,06101-RN,06101-RN,149.9,18.1,10.7,0.0,15,5
700004,2026-05,06101-RN,06101-RN,146.8,16.7,11.3,0.0,15,4
700004,2026-06,06101-RN,06101-RN,152.5,12.7,9.4,7.7,15,4
700005,2026-01,06101-RN,06101-RN,146.9,14.9,12.2,0.0,14,5
700005,2026-02,06101-RN,06101-RN,153.3,14.5,10.4,0.0,15,4
700005,2026-03,06101-RN,06101-RN,148.6,17.8,7.5,0.0,14,4
700005,2026-04,06101-RN,06101-RN,144.3,14.4,10.6,0.0,14,4
