EMPLID,EMPL_RCD,EFFDT,EFFSEQ,DEPTID,JOBCODE,POSITION_NBR,ACTION,ACTION_REASON,EMPL_STATUS,FTE,COMPRATE,COMP_FREQUENCY,HIRE_DT,TERMINATION_DT
700001,0,2026-06-30,0,MET6101,RN003,P700001,TER,REL,T,1.0,52.59,H,2023-08-01,2026-06-16
700002,0,2026-06-30,0,MET6101,RN003,P700002,DTA,DTA,A,1.0,54.43,H,2022-03-01,
700003,0,2026-06-30,0,MET6101,RN002,P700003,DTA,DTA,A,1.0,48.25,H,2019-08-01,
700004,0,2026-06-30,0,MET6101,RN002,P700004,HIR,NEW,A,1.0,50.3,H,2023-02-01,
700005,0,2026-06-30,0,MET6101,RN003,P700005,DTA,DTA,A,1.0,54.35,H,2019-11-01,
700006,0,2026-06-30,0,MET6101,RN002,P700006,DTA,DTA,A,1.0,48.47,H,2021-08-01,
700007,0,2026-06-30,0,MET6101,RN002,P700007,DTA,DTA,A,1.0,48.24,H,2024-06-01,
700008,0,2026-06-30,0,MET6110,RN001,P700008,DTA,DTA,A,0.8,47.82,H,2022-05-01,
700009,0,2026-06-30,0,MET6110,RN001,P700009,DTA,DTA,A,1.0,48.55,H,2019-09-01,
700010,0,2026-06-30,0,MET6110,RN001,P700010,DTA,DTA,A,1.0,49.16,H,2016-04-01,
700011,0,2026-06-30,0,MET6110,RN001,P700011,HIR,NEW,A,0.9,48.89,H,2024-11-01,
700012,0,2026-06-30,0,MET6110,RN002,P700012,DTA,DTA,A,1.0,51.61,H,2022-09-01,
700013,0,2026-06-30,0,MET6110,RN002,P700013,DTA,DTA,A,0.8,51.34,H,2021-07-01,
700014,0,2026-06-30,0,MET6120,RN002,P700014,TER,PER,T,0.9,58.33,H,2022-10-01,2026-05-22
700015,0,2026-06-30,0,MET6120,RN002,P700015,DTA,DTA,A,0.9,59.3,H,2021-02-01,
700016,0,2026-06-30,0,MET6120,RN002,P700016,DTA,DTA,A,1.0,59.02,H,2022-05-01,
700017,0,2026-06-30,0,MET6120,RN002,P700017,DTA,DTA,A,1.0,57.35,H,2016-03-01,
700018,0,2026-06-30,0,MET6120,RN002,P700018,DTA,DTA,A,1.0,59.14,H,2023-07-01,
700019,0,2026-06-30,0,MET6120,RN001,P700019,HIR,NEW,A,1.0,54.7,H,2021-05-01,
700020,0,2026-06-30,0,MET6120,RN001,P700020,DTA,DTA,A,1.0,54.8,H,2023-11-01,
700021,0,2026-06-30,0,MET6120,RN002,P700021,DTA,DTA,A,1.0,58.33,H,2019-02-01,
700022,0,2026-06-30,0,VAL7101,RN002,P700022,DTA,DTA,A,1.0,43.64,H,2023-06-01,
700023,0,2026-06-30,0,VAL7101,RN002,P700023,DTA,DTA,A,1.0,44.97,H,2024-02-01,
700024,0,2026-06-30,0,VAL7101,RN002,P700024,DTA,DTA,A,0.9,44.42,H,2023-03-01,
700025,0,2026-06-30,0,VAL7101,RN002,P700025,DTA,DTA,A,1.0,45.19,H,2018-07-01,
700026,0,2026-06-30,0,VAL7101,RN003,P700026,DTA,DTA,A,1.0,48.52,H,2024-08-01,
700027,0,2026-06-30,0,VAL7101,RN001,P700027,DTA,DTA,A,1.0,40.34,H,2018-11-01,
700028,0,2026-06-30,0,VAL7101,RN002,P700028,HIR,NEW,A,0.9,44.81,H,2016-11-01,
700029,0,2026-06-30,0,VAL7130,RN001,P700029,TER,REL,T,1.0,44.14,H,2024-09-01,2026-05-22
700030,0,2026-06-30,0,VAL7130,RN001,P700030,DTA,DTA,A,0.8,44.96,H,2019-10-01,
700031,0,2026-06-30,0,VAL7130,RN001,P700031,DTA,DTA,A,1.0,43.82,H,2024-01-01,
700032,0,2026-06-30,0,VAL7130,RN001,P700032,HIR,NEW,A,1.0,43.21,H,2021-10-01,
700033,0,2026-06-30,0,VAL7130,RN001,P700033,DTA,DTA,A,0.9,43.75,H,2018-11-01,
700034,0,2026-06-30,0,VAL7130,RN002,P700034,DTA,DTA,A,1.0,46.86,H,2024-11-01,
700035,0,2026-06-30,0,VAL7120,RN002,P700035,TER,PER,T,1.0,56.21,H,2019-01-01,2026-04-16
700036,0,2026-06-30,0,VAL7120,RN002,P700036,DTA,DTA,A,0.9,56.2,H,2021-02-01,
700037,0,2026-06-30,0,VAL7120,RN001,P700037,DTA,DTA,A,1.0,54.5,H,2016-05-01,
700038,0,2026-06-30,0,VAL7120,RN001,P700038,DTA,DTA,A,1.0,52.0,H,2018-10-01,
700039,0,2026-06-30,0,VAL7120,RN001,P700039,DTA,DTA,A,1.0,54.47,H,2021-08-01,
700040,0,2026-06-30,0,VAL7120,RN001,P700040,HIR,NEW,A,1.0,53.08,H,2023-01-01,
700041,0,2026-06-30,0,VAL7120,RN003,P700041,DTA,DTA,A,1.0,60.05,H,2019-05-01,
700042,0,2026-06-30,0,CHR8101,RN001,P700042,TER,REL,T,1.0,47.16,H,2019-09-01,2026-05-26
700043,0,2026-06-30,0,CHR8101,RN002,P700043,TER,CAR,T,1.0,51.48,H,2023-09-01,2026-04-17
700044,0,2026-06-30,0,CHR8101,RN002,P700044,DTA,DTA,A,1.0,51.95,H,2018-10-01,
700045,0,2026-06-30,0,CHR8101,RN002,P700045,HIR,NEW,A,0.9,50.29,H,2021-04-01,
700046,0,2026-06-30,0,CHR8101,RN002,P700046,DTA,DTA,A,1.0,51.01,H,2022-10-01,
700047,0,2026-06-30,0,CHR8101,RN002,P700047,HIR,NEW,A,0.9,50.98,H,2016-06-01,
700048,0,2026-06-30,0,CHR8105,RN002,P700048,TER,SCH,T,1.0,56.12,H,2018-04-01,2026-06-27
700049,0,2026-06-30,0,CHR8105,RN002,P700049,TER,CAR,T,0.9,57.06,H,2022-09-01,2026-04-15
700050,0,2026-06-30,0,CHR8105,RN002,P700050,TER,REL,T,1.0,57.14,H,2021-03-01,2026-04-10
700051,0,2026-06-30,0,CHR8105,RN002,P700051,TER,PER,T,1.0,56.57,H,2021-09-01,2026-06-15
700052,0,2026-06-30,0,CHR8105,RN002,P700052,HIR,NEW,A,1.0,57.5,H,2021-11-01,
700053,0,2026-06-30,0,CHR8105,RN002,P700053,DTA,DTA,A,1.0,57.04,H,2022-08-01,
700054,0,2026-06-30,0,CHR8105,RN002,P700054,HIR,NEW,A,0.9,56.96,H,2019-01-01,
700055,0,2026-06-30,0,CHR8115,RN002,P700055,TER,REL,T,0.9,54.33,H,2022-11-01,2026-05-10
700056,0,2026-06-30,0,CHR8115,RN001,P700056,TER,CAR,T,1.0,51.63,H,2016-05-01,2026-05-15
700057,0,2026-06-30,0,CHR8115,RN002,P700057,TER,PER,T,1.0,56.03,H,2018-02-01,2026-06-24
700058,0,2026-06-30,0,CHR8115,RN001,P700058,DTA,DTA,A,1.0,52.49,H,2019-09-01,
700059,0,2026-06-30,0,CHR8115,RN002,P700059,DTA,DTA,A,0.8,54.91,H,2018-10-01,
700060,0,2026-06-30,0,CHR8115,RN002,P700060,DTA,DTA,A,0.9,56.24,H,2016-09-01,
700061,0,2026-06-30,0,CHR8115,RN001,P700061,DTA,DTA,A,1.0,52.13,H,2023-04-01,
